Trial-ID,Status,Iteration,H_l1,H_l2,activate,lr,Objective,training_error
2,INTERMEDIATE,8000,149,28,nn.PReLU,1.7018809122715364e-05,0.9923372571896374,0.9927440794255801
2,INTERMEDIATE,8500,149,28,nn.PReLU,1.7018809122715364e-05,0.9938086311996902,0.9941248233447598
2,INTERMEDIATE,9000,149,28,nn.PReLU,1.7018809122715364e-05,0.9949308244923868,0.9951967464512385
2,INTERMEDIATE,9500,149,28,nn.PReLU,1.7018809122715364e-05,0.9958215165968786,0.9960436128698995
2,INTERMEDIATE,1,149,28,nn.PReLU,1.7018809122715364e-05,0.9955756481254796,0.996716341092269
2,COMPLETED,9500,149,28,nn.PReLU,1.7018809122715364e-05,0.9958215165968786,0.9960436128698995
3,INTERMEDIATE,0,220,95,nn.LeakyReLU,2.5101997190431805e-06,-0.059562872294655955,-0.06154094372528163
3,INTERMEDIATE,500,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.1586443432126352,0.16330845610130906
3,INTERMEDIATE,1000,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.36905118349902266,0.3788548215332075
3,INTERMEDIATE,1500,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.5370531845920636,0.5498988601722457
3,INTERMEDIATE,2000,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.6634139636454952,0.677295353805327
3,INTERMEDIATE,2500,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.7518078816265388,0.7652756241747747
3,INTERMEDIATE,3000,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.8089673071297,0.8212616859507883
3,INTERMEDIATE,3500,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.8473508962867846,0.8583855497384137
3,INTERMEDIATE,4000,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.8747554881729758,0.8846906208483548
3,INTERMEDIATE,4500,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.8953850518862557,0.9043224975176175
3,INTERMEDIATE,5000,220,95,nn.LeakyReLU,2.5101997190431805e-06,0.9110466683334781,0.9190772850269678
